time,temperature,relative_humidity,dew_point,precipitation (mm),rain (mm),snowfall (cm),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_direction,is_Day
2020-01-01T00:00,11.5,93,10.3,0,0,0,1013,945,0,0,0,0,0.1,6.9,28,0
2020-01-01T01:00,11,94,10.1,0,0,0,1013.8,945.6,0,0,0,0,0.07,7.9,43,0
2020-01-01T02:00,10.9,96,10.4,0,0,0,1015.1,946.8,0,0,0,0,0.05,8.6,68,1
2020-01-01T03:00,14.8,86,12.4,0,0,0,1016.1,948.6,2,2,0,0,0.24,6.2,80,1
2020-01-01T04:00,17.8,80,14.3,0,0,0,1017,950.1,2,2,0,0,0.4,6.1,90,1
2020-01-01T05:00,20.4,64,13.4,0,0,0,1017.1,950.8,0,0,0,0,0.85,3.4,122,1
2020-01-01T06:00,22.3,51,11.7,0,0,0,1016.2,950.4,0,0,0,0,1.32,5.8,202,1
2020-01-01T07:00,24.2,43,10.9,0,0,0,1014.9,949.6,0,0,0,0,1.72,8.9,212,1
2020-01-01T08:00,25.7,33,8,0,0,0,1013.3,948.4,0,0,0,0,2.23,14.2,216,1
2020-01-01T09:00,25.7,32,7.8,0,0,0,1012.6,947.7,0,0,0,0,2.24,15.9,219,1
2020-01-01T10:00,25.5,32,7.7,0,0,0,1012.3,947.4,0,0,0,0,2.21,14.5,222,1
2020-01-01T11:00,24.8,34,7.9,0,0,0,1012.6,947.5,0,0,0,0,2.06,13.2,227,1
2020-01-01T12:00,22.8,42,9.3,0,0,0,1013.3,947.8,3,0,0,10,1.61,7.9,231,1
2020-01-01T13:00,19.4,53,9.7,0,0,0,1014.2,947.9,0,0,0,0,1.05,6.6,248,0
2020-01-01T14:00,17.7,62,10.2,0,0,0,1015.2,948.4,0,0,0,1,0.78,6.2,280,0
2020-01-01T15:00,17.1,66,10.7,0,0,0,1016.2,949.2,0,0,0,0,0.66,7.4,309,0
2020-01-01T16:00,16.4,76,12.2,0,0,0,1016.8,949.6,0,0,0,0,0.44,7.5,305,0
2020-01-01T17:00,14.9,88,13,0,0,0,1017,949.5,1,0,0,2,0.2,6.2,306,0
2020-01-01T18:00,13.9,92,12.7,0,0,0,1016.8,949.1,1,0,0,2,0.12,5.6,310,0
